Greece, Death rates (period 1x1), 	Last modified: 17 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1981           0             0.012387        0.015273        0.013884
  1981           1             0.000663        0.000645        0.000653
  1981           2             0.000336        0.000543        0.000443
  1981           3             0.000268        0.000506        0.000391
  1981           4             0.000304        0.000485        0.000397
  1981           5             0.000218        0.000231        0.000225
  1981           6             0.000205        0.000310        0.000259
  1981           7             0.000234        0.000223        0.000228
  1981           8             0.000138        0.000314        0.000229
  1981           9             0.000262        0.000276        0.000270
  1981          10             0.000219        0.000365        0.000294
  1981          11             0.000187        0.000227        0.000208
  1981          12             0.000157        0.000296        0.000228
  1981          13             0.000228        0.000434        0.000334
  1981          14             0.000249        0.000348        0.000300
  1981          15             0.000283        0.000636        0.000465
  1981          16             0.000413        0.000667        0.000543
  1981          17             0.000344        0.000819        0.000585
  1981          18             0.000420        0.001044        0.000734
  1981          19             0.000258        0.000844        0.000556
  1981          20             0.000505        0.001078        0.000797
  1981          21             0.000332        0.001269        0.000804
  1981          22             0.000326        0.001073        0.000700
  1981          23             0.000543        0.001186        0.000862
  1981          24             0.000355        0.001288        0.000815
  1981          25             0.000475        0.001114        0.000789
  1981          26             0.000412        0.001151        0.000779
  1981          27             0.000461        0.001134        0.000798
  1981          28             0.000583        0.001007        0.000795
  1981          29             0.000528        0.000991        0.000760
  1981          30             0.000568        0.000944        0.000756
  1981          31             0.000547        0.001226        0.000886
  1981          32             0.000619        0.001053        0.000832
  1981          33             0.000572        0.001048        0.000804
  1981          34             0.000680        0.001075        0.000874
  1981          35             0.000901        0.001452        0.001171
  1981          36             0.000447        0.001500        0.000962
  1981          37             0.000997        0.001565        0.001278
  1981          38             0.000704        0.001218        0.000959
  1981          39             0.000586        0.001373        0.000968
  1981          40             0.000879        0.001821        0.001331
  1981          41             0.001151        0.002073        0.001596
  1981          42             0.001135        0.001777        0.001446
  1981          43             0.001236        0.002395        0.001793
  1981          44             0.001380        0.002167        0.001756
  1981          45             0.001369        0.002600        0.001959
  1981          46             0.002060        0.002907        0.002473
  1981          47             0.002095        0.003286        0.002683
  1981          48             0.002116        0.003426        0.002768
  1981          49             0.001845        0.003962        0.002919
  1981          50             0.002998        0.004675        0.003832
  1981          51             0.002734        0.005347        0.004014
  1981          52             0.003378        0.005591        0.004467
  1981          53             0.003178        0.005893        0.004503
  1981          54             0.003559        0.007022        0.005243
  1981          55             0.004225        0.008430        0.006245
  1981          56             0.004047        0.008984        0.006408
  1981          57             0.004975        0.010034        0.007403
  1981          58             0.005257        0.011289        0.008079
  1981          59             0.005216        0.011210        0.008078
  1981          60             0.006962        0.013965        0.010324
  1981          61             0.008580        0.015943        0.012039
  1981          62             0.008646        0.015724        0.011901
  1981          63             0.010700        0.017841        0.013949
  1981          64             0.010827        0.020257        0.015199
  1981          65             0.012169        0.021688        0.016551
  1981          66             0.014921        0.024026        0.019179
  1981          67             0.014197        0.026005        0.019797
  1981          68             0.015703        0.030188        0.022271
  1981          69             0.016705        0.031495        0.023279
  1981          70             0.021120        0.034603        0.027005
  1981          71             0.026291        0.036993        0.031107
  1981          72             0.030618        0.043776        0.036889
  1981          73             0.032615        0.046859        0.039248
  1981          74             0.034272        0.050550        0.041610
  1981          75             0.042034        0.053725        0.047020
  1981          76             0.048994        0.063289        0.055298
  1981          77             0.052089        0.068758        0.059820
  1981          78             0.064227        0.074833        0.069010
  1981          79             0.056902        0.082548        0.067605
  1981          80             0.084250        0.095218        0.088513
  1981          81             0.089359        0.107046        0.096167
  1981          82             0.081278        0.104954        0.091066
