Korea, Death rates (period 1x1), 	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0             0.004823        0.005960        0.005416
  2003           1             0.000469        0.000411        0.000438
  2003           2             0.000284        0.000403        0.000346
  2003           3             0.000276        0.000305        0.000291
  2003           4             0.000260        0.000340        0.000301
  2003           5             0.000169        0.000257        0.000215
  2003           6             0.000222        0.000255        0.000239
  2003           7             0.000161        0.000251        0.000209
  2003           8             0.000120        0.000179        0.000151
  2003           9             0.000138        0.000170        0.000155
  2003          10             0.000128        0.000177        0.000154
  2003          11             0.000116        0.000179        0.000149
  2003          12             0.000117        0.000145        0.000132
  2003          13             0.000127        0.000154        0.000141
  2003          14             0.000125        0.000236        0.000183
  2003          15             0.000193        0.000289        0.000243
  2003          16             0.000259        0.000407        0.000336
  2003          17             0.000279        0.000489        0.000389
  2003          18             0.000260        0.000591        0.000432
  2003          19             0.000288        0.000691        0.000496
  2003          20             0.000276        0.000607        0.000446
  2003          21             0.000322        0.000551        0.000440
  2003          22             0.000381        0.000687        0.000538
  2003          23             0.000376        0.000742        0.000563
  2003          24             0.000359        0.000843        0.000608
  2003          25             0.000377        0.000817        0.000603
  2003          26             0.000426        0.000837        0.000635
  2003          27             0.000439        0.000863        0.000655
  2003          28             0.000452        0.000886        0.000673
  2003          29             0.000454        0.000974        0.000718
  2003          30             0.000466        0.001019        0.000748
  2003          31             0.000486        0.001038        0.000769
  2003          32             0.000504        0.001111        0.000815
  2003          33             0.000586        0.001155        0.000876
  2003          34             0.000677        0.001489        0.001088
  2003          35             0.000654        0.001370        0.001014
  2003          36             0.000699        0.001679        0.001201
  2003          37             0.000770        0.001747        0.001275
  2003          38             0.000761        0.002182        0.001486
  2003          39             0.000888        0.002229        0.001579
  2003          40             0.000990        0.002472        0.001756
  2003          41             0.000984        0.002749        0.001888
  2003          42             0.001048        0.003116        0.002095
  2003          43             0.001265        0.003458        0.002374
  2003          44             0.001356        0.003769        0.002585
  2003          45             0.001256        0.003965        0.002643
  2003          46             0.001519        0.004400        0.002990
  2003          47             0.001726        0.004898        0.003327
  2003          48             0.001792        0.005200        0.003513
  2003          49             0.001883        0.005562        0.003747
  2003          50             0.002050        0.005844        0.003959
  2003          51             0.002417        0.006974        0.004712
  2003          52             0.002246        0.007161        0.004721
  2003          53             0.002631        0.007954        0.005307
  2003          54             0.002673        0.008205        0.005449
  2003          55             0.003015        0.008251        0.005623
  2003          56             0.003505        0.009498        0.006478
  2003          57             0.003398        0.009439        0.006386
  2003          58             0.003928        0.011107        0.007411
  2003          59             0.004415        0.011477        0.007790
  2003          60             0.004781        0.013513        0.008952
  2003          61             0.005244        0.014843        0.009811
  2003          62             0.005757        0.016516        0.010806
  2003          63             0.006427        0.017127        0.011392
  2003          64             0.007573        0.018959        0.012807
  2003          65             0.008144        0.020736        0.013865
  2003          66             0.009022        0.023639        0.015566
  2003          67             0.011052        0.025091        0.017206
  2003          68             0.012553        0.028582        0.019424
  2003          69             0.013811        0.031762        0.021308
  2003          70             0.016203        0.034380        0.023579
  2003          71             0.017956        0.037227        0.025504
  2003          72             0.020119        0.041729        0.028194
  2003          73             0.023777        0.045740        0.031827
  2003          74             0.026799        0.050892        0.035545
  2003          75             0.031043        0.055996        0.039835
  2003          76             0.035727        0.062641        0.045081
  2003          77             0.041798        0.067334        0.050517
  2003          78             0.047556        0.075438        0.057210
  2003          79             0.049990        0.081974        0.060939
  2003          80             0.064335        0.097510        0.075152
  2003          81             0.067819        0.102564        0.078862
  2003          82             0.075607        0.108076        0.085829
  2003          83             0.088663        0.124328        0.099761
  2003          84             0.096174        0.133387        0.107389
  2003          85             0.110056        0.152619        0.122122
  2003          86             0.123248        0.171996        0.136161
  2003          87             0.136635        0.181629        0.147890
  2003          88             0.149958        0.192346        0.160048
  2003          89             0.161049        0.213566        0.172908
  2003          90             0.191782        0.232498        0.200650
  2003          91             0.207802        0.246861        0.216207
  2003          92             0.223487        0.253420        0.229930
  2003          93             0.235780        0.296528        0.248818
  2003          94             0.260834        0.327358        0.274044
  2003          95             0.282790        0.298148        0.285488
  2003          96             0.295396        0.314473        0.298506
  2003          97             0.325988        0.339892        0.328112
  2003          98             0.351950        0.295106        0.343864
  2003          99             0.298588        0.410091        0.313517
  2003         100             0.434295        0.524172        0.445393
  2003         101             0.467431        0.572073        0.479375
  2003         102             0.502240        0.637979        0.516306
  2003         103             0.539383        0.723664        0.556447
  2003         104             0.579064        0.855670        0.601153
  2003         105             0.624198        1.193929        0.657891
  2003         106             0.678383        1.979849        0.726948
  2003         107             0.741510        4.217822        0.805464
  2003         108             0.836010              .        0.836010
  2003         109             0.981556              .        0.981556
  2003         110+            1.654369              .        1.654369
  2004           0             0.004534        0.005074        0.004815
  2004           1             0.000405        0.000439        0.000422
  2004           2             0.000328        0.000388        0.000359
  2004           3             0.000250        0.000336        0.000295
  2004           4             0.000226        0.000263        0.000246
  2004           5             0.000160        0.000264        0.000214
  2004           6             0.000184        0.000225        0.000205
  2004           7             0.000154        0.000253        0.000206
  2004           8             0.000137        0.000235        0.000189
  2004           9             0.000129        0.000163        0.000147
  2004          10             0.000111        0.000181        0.000148
  2004          11             0.000122        0.000170        0.000147
  2004          12             0.000089        0.000143        0.000117
  2004          13             0.000146        0.000176        0.000162
  2004          14             0.000154        0.000196        0.000176
  2004          15             0.000145        0.000308        0.000231
  2004          16             0.000186        0.000317        0.000255
  2004          17             0.000185        0.000414        0.000305
  2004          18             0.000220        0.000535        0.000384
  2004          19             0.000270        0.000551        0.000416
  2004          20             0.000262        0.000612        0.000443
  2004          21             0.000295        0.000512        0.000406
  2004          22             0.000290        0.000572        0.000435
  2004          23             0.000320        0.000574        0.000451
  2004          24             0.000323        0.000660        0.000495
  2004          25             0.000418        0.000593        0.000508
  2004          26             0.000394        0.000782        0.000593
  2004          27             0.000336        0.000702        0.000522
  2004          28             0.000350        0.000780        0.000569
  2004          29             0.000381        0.000834        0.000612
  2004          30             0.000443        0.000782        0.000615
  2004          31             0.000437        0.000843        0.000644
  2004          32             0.000456        0.000915        0.000691
  2004          33             0.000563        0.001059        0.000817
  2004          34             0.000563        0.001133        0.000853
  2004          35             0.000618        0.001378        0.001003
  2004          36             0.000661        0.001552        0.001108
  2004          37             0.000749        0.001636        0.001203
  2004          38             0.000825        0.001861        0.001360
  2004          39             0.000886        0.002008        0.001458
  2004          40             0.000823        0.002253        0.001559
  2004          41             0.000966        0.002611        0.001816
  2004          42             0.001116        0.002735        0.001944
  2004          43             0.001264        0.003279        0.002283
  2004          44             0.001354        0.003495        0.002436
  2004          45             0.001339        0.003785        0.002583
  2004          46             0.001439        0.004261        0.002883
  2004          47             0.001633        0.004687        0.003190
  2004          48             0.001646        0.004992        0.003331
  2004          49             0.001854        0.005426        0.003654
  2004          50             0.001903        0.005858        0.003903
  2004          51             0.002009        0.006301        0.004164
  2004          52             0.002421        0.007207        0.004826
  2004          53             0.002318        0.007275        0.004808
  2004          54             0.002795        0.008189        0.005500
  2004          55             0.002740        0.008571        0.005658
  2004          56             0.002972        0.008983        0.005957
  2004          57             0.003523        0.010155        0.006802
  2004          58             0.003487        0.010145        0.006769
  2004          59             0.004061        0.011562        0.007689
  2004          60             0.004540        0.012122        0.008150
  2004          61             0.004970        0.014018        0.009272
  2004          62             0.005649        0.015964        0.010531
  2004          63             0.006006        0.016509        0.010907
  2004          64             0.007021        0.018961        0.012528
  2004          65             0.007735        0.019882        0.013281
  2004          66             0.008838        0.022378        0.014947
  2004          67             0.010062        0.025994        0.017138
  2004          68             0.011345        0.027618        0.018416
  2004          69             0.012921        0.029724        0.020053
  2004          70             0.014971        0.033011        0.022433
  2004          71             0.016715        0.036546        0.024669
  2004          72             0.019640        0.041738        0.028193
  2004          73             0.021315        0.043392        0.029447
  2004          74             0.025458        0.050993        0.034680
  2004          75             0.029202        0.054220        0.038138
  2004          76             0.033548        0.059483        0.042536
  2004          77             0.038997        0.068420        0.049041
  2004          78             0.043359        0.072776        0.053215
  2004          79             0.049913        0.080846        0.060404
  2004          80             0.054075        0.088933        0.065636
  2004          81             0.070081        0.104925        0.081184
  2004          82             0.073924        0.111322        0.085527
  2004          83             0.083657        0.121585        0.095303
  2004          84             0.093767        0.131059        0.105082
  2004          85             0.104128        0.140674        0.114855
  2004          86             0.119644        0.161242        0.131084
  2004          87             0.134357        0.183828        0.147017
  2004          88             0.153192        0.189488        0.161972
  2004          89             0.160813        0.201483        0.170178
  2004          90             0.172995        0.229877        0.185353
  2004          91             0.199411        0.250560        0.210135
  2004          92             0.226167        0.250344        0.231220
  2004          93             0.252820        0.268628        0.256140
  2004          94             0.243491        0.278880        0.250862
  2004          95             0.297755        0.336105        0.305133
  2004          96             0.285404        0.330247        0.293044
  2004          97             0.333279        0.371501        0.339343
  2004          98             0.330181        0.327144        0.329718
  2004          99             0.369938        0.459927        0.382408
  2004         100             0.445010        0.356622        0.433823
  2004         101             0.482593        0.368297        0.468428
  2004         102             0.521507        0.385488        0.505903
  2004         103             0.563159        0.417088        0.548127
  2004         104             0.609189        0.470072        0.596780
  2004         105             0.660438        0.580925        0.654786
  2004         106             0.724824        1.228070        0.742045
  2004         107             0.816118              .        0.816118
  2004         108             0.938533              .        0.938533
  2004         109             1.186879              .        1.186879
  2004         110+            2.151832              .        2.151832
  2005           0             0.004089        0.004364        0.004232
  2005           1             0.000443        0.000438        0.000441
  2005           2             0.000211        0.000312        0.000263
  2005           3             0.000208        0.000325        0.000269
  2005           4             0.000132        0.000257        0.000197
  2005           5             0.000174        0.000215        0.000196
  2005           6             0.000169        0.000230        0.000201
  2005           7             0.000153        0.000195        0.000175
  2005           8             0.000139        0.000202        0.000172
  2005           9             0.000112        0.000162        0.000139
  2005          10             0.000114        0.000137        0.000126
  2005          11             0.000123        0.000128        0.000126
  2005          12             0.000131        0.000172        0.000153
  2005          13             0.000134        0.000167        0.000151
  2005          14             0.000127        0.000199        0.000165
  2005          15             0.000154        0.000291        0.000227
  2005          16             0.000202        0.000342        0.000276
  2005          17             0.000227        0.000386        0.000310
  2005          18             0.000290        0.000464        0.000381
  2005          19             0.000220        0.000490        0.000361
  2005          20             0.000308        0.000537        0.000427
  2005          21             0.000380        0.000555        0.000470
  2005          22             0.000403        0.000577        0.000492
  2005          23             0.000417        0.000571        0.000496
  2005          24             0.000379        0.000666        0.000526
  2005          25             0.000438        0.000739        0.000592
  2005          26             0.000444        0.000646        0.000548
  2005          27             0.000416        0.000747        0.000585
  2005          28             0.000400        0.000777        0.000592
  2005          29             0.000474        0.000742        0.000611
  2005          30             0.000522        0.000904        0.000717
  2005          31             0.000497        0.001008        0.000756
  2005          32             0.000568        0.000908        0.000741
  2005          33             0.000561        0.000959        0.000765
  2005          34             0.000566        0.001181        0.000880
  2005          35             0.000575        0.001125        0.000855
  2005          36             0.000713        0.001413        0.001067
  2005          37             0.000731        0.001471        0.001103
  2005          38             0.000812        0.001724        0.001279
  2005          39             0.000893        0.001851        0.001388
  2005          40             0.000880        0.002161        0.001533
  2005          41             0.000872        0.002206        0.001558
  2005          42             0.001068        0.002699        0.001910
  2005          43             0.001112        0.002766        0.001957
  2005          44             0.001215        0.003276        0.002256
  2005          45             0.001324        0.003740        0.002543
  2005          46             0.001359        0.003942        0.002672
  2005          47             0.001619        0.004336        0.003007
  2005          48             0.001794        0.004527        0.003186
  2005          49             0.001661        0.005085        0.003383
  2005          50             0.001987        0.005571        0.003790
  2005          51             0.001894        0.005850        0.003891
  2005          52             0.002278        0.006270        0.004278
  2005          53             0.002449        0.007226        0.004844
  2005          54             0.002498        0.007347        0.004928
  2005          55             0.002726        0.008155        0.005441
  2005          56             0.003024        0.008449        0.005732
  2005          57             0.003083        0.009021        0.006024
  2005          58             0.003655        0.009884        0.006726
